incident_id,created_on,channel,caller_id,location,short_description,description,service_id,ci_id,category_id,impact,urgency,true_priority,true_assignment_group_id,true_agent_id,required_skill_id,resolution_notes,resolution_code,time_to_resolve_mins,ground_truth_cluster
INC0001,2025-07-31 16:45:00,Chat,U1993,Canberra,Password Reset,Password Reset. index wifi mac sso desktop drop android drop. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,17,Password Reset
INC0002,2025-08-11 18:56:00,Phone,U1767,Canberra,Password Reset,Password Reset. wifi teams token teams error android iphone mac certificate. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,7,Password Reset
INC0003,2025-07-30 02:27:00,Email,U1075,Perth,Password Reset,Password Reset. timeout token search auth wifi. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,16,Password Reset
INC0004,2025-07-18 15:58:00,Chat,U1547,Perth,Password Reset,Password Reset. jam profile account mac. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,14,Password Reset
INC0005,2025-07-26 09:56:00,Email,U1944,Perth,Password Reset,Password Reset. outlook policy index jam certificate. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,14,Password Reset
INC0006,2025-06-22 04:36:00,Portal,U2161,Perth,Password Reset,Password Reset. desktop mac router jam warning timeout. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,10,Password Reset
INC0007,2025-07-18 07:59:00,Email,U2175,Perth,Password Reset,Password Reset. mfa drop token quota drop jam. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,14,Password Reset
INC0008,2025-07-27 07:41:00,Chat,U1446,Perth,Password Reset,Password Reset. drop certificate roller auth search teams outlook device roller. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,17,Password Reset
INC0009,2025-07-22 20:19:00,Chat,U1598,Perth,Password Reset,Password Reset. desktop mac roller timeout index roller laptop drop profile. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,11,Password Reset
INC0010,2025-06-25 15:31:00,Email,U1422,Canberra,Password Reset,Password Reset. policy desktop jam iphone. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,19,Password Reset
INC0011,2025-07-18 06:55:00,Phone,U1967,Canberra,Password Reset,Password Reset. iphone windows android firmware connect jam. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,17,Password Reset
INC0012,2025-07-30 03:40:00,Email,U1450,Perth,Password Reset,Password Reset. search mac laptop jam auth android error connect. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,22,Password Reset
INC0013,2025-07-13 23:49:00,Chat,U1089,Perth,Password Reset,Password Reset. client printer search gateway. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,21,Password Reset
INC0014,2025-06-14 05:32:00,Portal,U2094,Canberra,Password Reset,Password Reset. warning certificate gateway certificate quota profile. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,19,Password Reset
INC0015,2025-07-19 22:36:00,Chat,U1347,Canberra,Password Reset,Password Reset. drop policy timeout client profile auth. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,8,Password Reset
INC0016,2025-06-28 00:55:00,Phone,U1029,Canberra,Password Reset,Password Reset. device iphone firmware client timeout quota policy device. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,19,Password Reset
INC0017,2025-08-04 10:25:00,Chat,U1328,Melbourne,Password Reset,Password Reset. gateway sso error index wifi portal. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,12,Password Reset
INC0018,2025-07-09 20:25:00,Email,U1405,Melbourne,Password Reset,Password Reset. mac firmware jam error. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,11,Password Reset
INC0019,2025-07-12 11:51:00,Phone,U1246,Perth,Password Reset,Password Reset. error account index cache. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,17,Password Reset
INC0020,2025-07-26 10:02:00,Portal,U1661,Canberra,Password Reset,Password Reset. auth iphone sso token cache jam. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,8,Password Reset
INC0021,2025-07-25 06:03:00,Portal,U1249,Sydney,Password Reset,Password Reset. iphone windows timeout teams jam warning error quota drop. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,7,Password Reset
INC0022,2025-07-22 20:22:00,Email,U1922,Canberra,Password Reset,Password Reset. firmware firmware wifi mfa outlook account profile warning teams. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,15,Password Reset
INC0023,2025-08-05 14:48:00,Email,U1199,Melbourne,Password Reset,Password Reset. desktop index jam jam auth drop. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,15,Password Reset
INC0024,2025-07-17 03:20:00,Portal,U2149,Canberra,Password Reset,Password Reset. router windows quota index mac. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,12,Password Reset
INC0025,2025-06-27 12:18:00,Phone,U1273,Melbourne,Password Reset,Password Reset. policy token token laptop sso. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,16,Password Reset
INC0026,2025-06-29 06:21:00,Chat,U1141,Melbourne,Password Reset,Password Reset. iphone gateway mfa search outlook iphone android quota. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A002,S001,Reset password; user confirmed access.,Solved - Password Reset,17,Password Reset
INC0027,2025-07-18 03:38:00,Portal,U1409,Melbourne,Password Reset,Password Reset. laptop android index quota laptop index. User reports issue persists after restart.,SV001,,CAT-WP-PASS,Low,Low,P4,G001,A001,S001,Reset password; user confirmed access.,Solved - Password Reset,14,Password Reset
