record_id,record_type,service_id,category_id,ci_id,required_skills,priority,location,channel,sla_due
WQ-1001,incident,SV002,CAT-NW-VPN,CI001,S002,P2,Sydney,Phone,2025-08-12 19:45:00
WQ-1002,incident,SV001,CAT-WP-MFA,,S006,P3,Melbourne,Portal,2025-08-12 13:45:00
WQ-1003,incident,SV002,CAT-NW-WIFI,CI003,S005,P1,Sydney,Phone,2025-08-12 19:45:00
WQ-1004,incident,SV001,CAT-WP-MFA,,S006,P3,Melbourne,Portal,2025-08-12 15:45:00
WQ-1005,incident,SV001,CAT-WP-MFA,,S006,P3,Melbourne,Portal,2025-08-12 19:45:00
WQ-1006,incident,SV002,CAT-NW-VPN,CI001,S002,P2,Sydney,Phone,2025-08-12 23:45:00
WQ-1007,incident,SV003,CAT-CO-OUT,CI002,S003,P3,Canberra,Portal,2025-08-12 15:45:00
WQ-1008,incident,SV001,CAT-WP-PRT,,S004,P4,Canberra,Email,2025-08-12 19:45:00
WQ-1009,incident,SV002,CAT-NW-VPN,CI001,S002,P2,Sydney,Phone,2025-08-12 17:45:00
WQ-1010,incident,SV001,CAT-WP-PASS,,S001,P4,Canberra,Portal,2025-08-12 17:45:00
WQ-1011,incident,SV001,CAT-WP-PASS,,S001,P4,Canberra,Portal,2025-08-12 23:45:00
WQ-1012,incident,SV001,CAT-WP-MFA,,S006,P3,Melbourne,Portal,2025-08-12 15:45:00
WQ-1013,incident,SV003,CAT-CO-OUT,CI002,S003,P3,Canberra,Portal,2025-08-12 13:45:00
WQ-1014,incident,SV001,CAT-WP-MFA,,S006,P3,Melbourne,Portal,2025-08-12 15:45:00
WQ-1015,incident,SV002,CAT-NW-VPN,CI001,S002,P2,Sydney,Phone,2025-08-12 17:45:00
WQ-1016,incident,SV001,CAT-WP-MFA,,S006,P3,Melbourne,Portal,2025-08-12 23:45:00
WQ-1017,incident,SV003,CAT-CO-OUT,CI002,S003,P3,Canberra,Portal,2025-08-12 17:45:00
WQ-1018,incident,SV003,CAT-CO-OUT,CI002,S003,P3,Canberra,Portal,2025-08-12 17:45:00
WQ-1019,incident,SV002,CAT-NW-VPN,CI001,S002,P2,Sydney,Phone,2025-08-12 23:45:00
WQ-1020,incident,SV003,CAT-CO-OUT,CI002,S003,P3,Canberra,Portal,2025-08-12 15:45:00
WQ-1021,incident,SV001,CAT-WP-PRT,,S004,P4,Canberra,Email,2025-08-12 17:45:00
WQ-1022,incident,SV001,CAT-WP-MFA,,S006,P3,Melbourne,Portal,2025-08-12 13:45:00
WQ-1023,incident,SV002,CAT-NW-VPN,CI001,S002,P2,Sydney,Phone,2025-08-12 23:45:00
WQ-1024,incident,SV001,CAT-WP-MFA,,S006,P3,Melbourne,Portal,2025-08-12 13:45:00
WQ-1025,incident,SV003,CAT-CO-OUT,CI002,S003,P3,Canberra,Portal,2025-08-12 13:45:00
WQ-1026,incident,SV001,CAT-WP-MFA,,S006,P3,Melbourne,Portal,2025-08-12 17:45:00
WQ-1027,incident,SV001,CAT-WP-PRT,,S004,P4,Canberra,Email,2025-08-12 13:45:00
WQ-1028,incident,SV003,CAT-CO-OUT,CI002,S003,P3,Canberra,Portal,2025-08-12 17:45:00
WQ-1029,incident,SV001,CAT-WP-PRT,,S004,P4,Canberra,Email,2025-08-12 23:45:00
WQ-1030,incident,SV001,CAT-WP-PRT,,S004,P4,Canberra,Email,2025-08-12 17:45:00
